1	610	1219	1828	2437	3046	3655
0	2	3	4	610	3655	3658
1	3	5	6	7	8	3658
1	2	4	8	9	10	11
1	3	9	12	610	611	614
2	7	13	14	15	3658	3666
2	7	8	17	18	19	20
2	5	6	15	17	21	22
2	3	6	11	20	23	24
3	4	10	12	25	26	27
3	9	11	25	28	29	30
3	8	10	24	28	31	32
4	9	27	33	614	622	625
5	14	16	34	35	36	3666
5	13	15	34	37	38	39
5	7	14	21	37	40	41
13	36	42	43	3666	3687	3740
6	7	18	22	44	45	46
6	17	19	44	47	48	49
6	18	20	48	50	51	52
6	8	19	23	52	53	54
7	15	22	40	55	56	57
7	17	21	46	57	58	59
8	20	24	53	60	61	62
8	11	23	31	60	63	64
9	10	26	30	65	66	67
9	25	27	65	68	69	70
9	12	26	33	69	71	72
10	11	29	32	73	74	75
10	28	30	74	76	77	78
10	25	29	67	78	79	80
11	24	32	64	81	82	83
11	28	31	73	81	84	85
12	27	71	86	87	88	625
13	14	35	39	89	90	91
13	34	36	89	92	93	94
13	16	35	43	93	95	96
14	15	38	41	97	98	99
14	37	39	98	100	101	102
14	34	38	91	102	103	104
15	21	41	56	105	106	107
15	37	40	97	105	108	109
16	43	110	111	112	113	3740
16	36	42	95	113	114	115
17	18	45	47	116	117	118
17	44	46	118	119	120	121
17	22	45	58	119	122	123
18	44	49	117	124	125	126
18	19	49	51	127	128	129
18	47	48	126	127	130	131
19	51	52	132	133	134	135
19	48	50	129	132	136	137
19	20	50	54	135	138	139
20	23	54	62	140	141	142
20	52	53	139	140	143	144
21	56	57	145	146	147	148
21	40	55	107	145	149	150
21	22	55	59	148	151	152
22	46	59	122	153	154	155
22	57	58	152	153	156	157
23	24	61	63	158	159	160
23	60	62	160	161	162	163
23	53	61	142	161	164	165
24	60	64	159	166	167	168
24	31	63	83	168	169	170
25	26	66	68	171	172	173
25	65	67	173	174	175	176
25	30	66	79	174	177	178
26	65	70	172	179	180	181
26	27	70	72	182	183	184
26	68	69	181	182	185	186
27	33	72	88	187	188	189
27	69	71	184	187	190	191
28	32	75	84	192	193	194
28	29	75	77	195	196	197
28	73	74	194	195	198	199
29	77	78	200	201	202	203
29	74	76	197	200	204	205
29	30	76	80	203	206	207
30	67	80	177	208	209	210
30	78	79	207	208	211	212
31	32	82	85	213	214	215
31	81	83	213	216	217	218
31	64	82	170	216	219	220
32	73	85	192	221	222	223
32	81	84	215	221	224	225
33	87	226	227	625	651	719
33	86	88	226	228	229	230
33	71	87	189	228	231	232
34	35	90	92	233	234	235
34	89	91	235	236	237	238
34	39	90	103	236	239	240
35	89	94	234	241	242	243
35	36	94	96	244	245	246
35	92	93	243	244	247	248
36	43	96	115	249	250	251
36	93	95	246	249	252	253
37	41	99	108	254	255	256
37	38	99	101	257	258	259
37	97	98	256	257	260	261
38	101	102	262	263	264	265
38	98	100	259	262	266	267
38	39	100	104	265	268	269
39	91	104	239	270	271	272
39	102	103	269	270	273	274
40	41	106	109	275	276	277
40	105	107	275	278	279	280
40	56	106	149	278	281	282
41	97	109	254	283	284	285
41	105	108	277	283	286	287
42	111	288	289	290	3740	3881
42	110	112	288	291	292	293
42	111	113	292	294	295	296
42	43	112	114	296	297	298
43	113	115	297	300	301	302
43	95	114	251	300	303	304
44	117	118	305	306	307	308
44	47	116	124	305	309	310
44	45	116	121	308	311	312
